epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.429,2.19271,3.57709,1.82214,0.00385,0.21576,0.04221,0.01769,1.94008,3.75924,1.58861,0.00026672,0.00026672,0.00026672
2,55.5686,1.84252,2.64019,1.59724,0.00376,0.20399,0.03133,0.01368,1.92036,3.67816,1.62385,0.000544664,0.000544664,0.000544664
3,58.7464,1.81886,2.15214,1.53998,0.71221,0.02353,0.07816,0.02732,2.11518,3.35407,1.69727,0.000816997,0.000816997,0.000816997
4,61.8503,1.81677,2.0064,1.52888,0.59044,0.02338,0.0803,0.03114,2.13025,3.21562,1.7338,0.00108372,0.00108372,0.00108372
5,65.4647,1.76668,1.91047,1.54158,0.39171,0.10798,0.04626,0.02067,2.10605,2.97958,1.98186,0.00134483,0.00134483,0.00134483
6,72.0736,1.76869,1.80567,1.51932,0.44311,0.23625,0.21899,0.08847,2.10341,2.50771,1.89688,0.00158448,0.00158448,0.00158448
7,75.5196,1.78358,1.75925,1.48618,0.42353,0.25007,0.27203,0.10818,2.08233,2.86713,1.91855,0.00156798,0.00156798,0.00156798
8,78.6753,1.71453,1.7354,1.50253,0.39308,0.30631,0.3208,0.1322,2.1679,2.26111,2.06745,0.00155148,0.00155148,0.00155148
9,82.7278,1.6229,1.61122,1.41167,0.2794,0.25688,0.24302,0.09064,2.63293,3.22283,2.04381,0.00153497,0.00153497,0.00153497
10,86.0514,1.68882,1.7089,1.47558,0.50874,0.39806,0.44051,0.16582,2.36141,2.10596,1.99759,0.00151847,0.00151847,0.00151847
11,89.1317,1.66423,1.60236,1.43981,0.49352,0.33125,0.35705,0.14684,2.20116,1.91073,1.95422,0.00150197,0.00150197,0.00150197
12,92.1705,1.62032,1.54207,1.40861,0.5033,0.42596,0.42555,0.18818,1.96105,1.71385,1.72422,0.00148546,0.00148546,0.00148546
13,95.4633,1.69641,1.58769,1.48137,0.54907,0.41522,0.39444,0.15719,2.13429,1.97214,1.6903,0.00146896,0.00146896,0.00146896
14,99.4861,1.68786,1.59231,1.50044,0.46406,0.48111,0.43277,0.17579,2.06934,1.81449,1.78972,0.00145246,0.00145246,0.00145246
15,102.379,1.62119,1.45941,1.4106,0.59147,0.43146,0.47768,0.19548,2.00468,1.57813,1.74732,0.00143595,0.00143595,0.00143595
16,105.413,1.53572,1.42548,1.4059,0.42754,0.44722,0.40717,0.1626,2.11411,1.94099,1.80687,0.00141945,0.00141945,0.00141945
17,108.771,1.56352,1.42814,1.38105,0.5818,0.40135,0.41698,0.17767,2.0179,1.86798,1.75632,0.00140295,0.00140295,0.00140295
18,113.262,1.56075,1.42562,1.39752,0.62105,0.37113,0.4137,0.18267,2.02171,2.1865,1.73347,0.00138644,0.00138644,0.00138644
19,116.186,1.55769,1.4121,1.41628,0.61434,0.4937,0.52425,0.22199,1.93608,1.68878,1.76331,0.00136994,0.00136994,0.00136994
20,119.146,1.5744,1.41414,1.4291,0.55836,0.48041,0.47706,0.193,1.97363,1.7994,1.70447,0.00135344,0.00135344,0.00135344
21,122.25,1.49141,1.33073,1.35821,0.57179,0.53416,0.50735,0.188,2.01487,1.72649,1.69097,0.00133693,0.00133693,0.00133693
22,125.429,1.55322,1.36658,1.4138,0.5401,0.48974,0.51842,0.22838,2.02964,1.53607,1.73033,0.00132043,0.00132043,0.00132043
23,128.979,1.44663,1.25768,1.31989,0.58269,0.4979,0.47971,0.21455,2.0196,1.44537,1.75216,0.00130393,0.00130393,0.00130393
24,132.137,1.4961,1.32048,1.33292,0.60471,0.50597,0.5131,0.21476,2.08451,1.42909,1.88199,0.00128742,0.00128742,0.00128742
25,135.248,1.47705,1.25126,1.34458,0.69897,0.47464,0.54322,0.2563,1.88966,1.3598,1.68338,0.00127092,0.00127092,0.00127092
26,138.243,1.47704,1.21564,1.34357,0.65904,0.47134,0.55109,0.24251,1.94886,1.49616,1.68724,0.00125442,0.00125442,0.00125442
