epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2352,2.18075,3.56525,1.83067,0.00387,0.39815,0.0445,0.0207,1.71623,3.98988,1.45499,0.00031673,0.00031673,0.00031673
2,46.8333,1.92534,2.63167,1.62364,0.78813,0.00926,0.04332,0.01896,1.71544,4.00226,1.67895,0.000646912,0.000646912,0.000646912
3,51.3799,1.91844,2.20696,1.60837,0.65101,0.05556,0.06463,0.02932,1.82465,3.66626,1.60634,0.000973793,0.000973793,0.000973793
4,56.3842,1.81454,2.11917,1.57834,0.59985,0.0463,0.03792,0.01682,1.91933,3.60124,1.88988,0.00129737,0.00129737,0.00129737
5,61.5667,1.8175,2.06926,1.64174,0.32346,0.24306,0.12979,0.05317,1.97597,3.30292,1.87293,0.00161765,0.00161765,0.00161765
6,66.5267,1.88219,2.01468,1.64874,0.03096,0.17824,0.01156,0.00372,1.90073,154.566,1.96673,0.00162574,0.00162574,0.00162574
7,71.3794,1.78307,1.91561,1.54379,0.52974,0.37616,0.33013,0.13606,2.03303,2.70334,1.9157,0.00161749,0.00161749,0.00161749
8,76.4586,1.8057,1.81272,1.53849,0.35542,0.4838,0.27997,0.1182,1.86419,5.76391,1.76111,0.00160924,0.00160924,0.00160924
9,80.9261,1.76901,1.74895,1.5437,0.40339,0.4838,0.33175,0.15434,1.85949,3.10091,1.89416,0.00160099,0.00160099,0.00160099
10,86.4742,1.65873,1.64989,1.48664,0.53258,0.36227,0.32895,0.16007,1.84717,2.88033,1.80485,0.00159274,0.00159274,0.00159274
11,92.4343,1.69254,1.65414,1.48751,0.67251,0.38426,0.43501,0.21528,1.79733,1.87676,1.6487,0.00158448,0.00158448,0.00158448
12,97.5777,1.68449,1.6261,1.49749,0.64351,0.48843,0.49542,0.22637,1.78449,1.85733,1.63596,0.00157623,0.00157623,0.00157623
13,102.97,1.68653,1.60032,1.51084,0.60505,0.44792,0.43457,0.17288,1.88066,2.17304,1.69213,0.00156798,0.00156798,0.00156798
14,108.802,1.71403,1.60564,1.50357,0.58455,0.37588,0.39845,0.19969,1.78188,2.27056,1.66623,0.00155973,0.00155973,0.00155973
15,113.632,1.62871,1.52282,1.4828,0.70296,0.39699,0.43713,0.21952,1.7732,3.35149,1.68039,0.00155148,0.00155148,0.00155148
16,119.424,1.67301,1.55504,1.47607,0.62522,0.47917,0.48832,0.2268,1.74085,2.24981,1.64322,0.00154323,0.00154323,0.00154323
17,124.723,1.60691,1.48725,1.46109,0.62968,0.45418,0.47534,0.24633,1.81704,1.68762,1.75968,0.00153497,0.00153497,0.00153497
18,129.377,1.67065,1.56687,1.46912,0.54839,0.41024,0.37803,0.18546,1.78482,1.87244,1.61375,0.00152672,0.00152672,0.00152672
19,134.525,1.63225,1.47828,1.46928,0.65072,0.4375,0.46268,0.21983,1.83357,1.7708,1.71837,0.00151847,0.00151847,0.00151847
20,140.258,1.59813,1.45074,1.4143,0.63007,0.40162,0.41087,0.19161,2.00722,2.19562,1.79898,0.00151022,0.00151022,0.00151022
21,145.724,1.61883,1.39024,1.41197,0.6404,0.47583,0.47836,0.23949,1.72788,1.71078,1.61585,0.00150197,0.00150197,0.00150197
22,151.055,1.56694,1.4337,1.41507,0.63328,0.47908,0.49764,0.24028,1.68485,1.56767,1.55885,0.00149372,0.00149372,0.00149372
23,156.902,1.59829,1.45794,1.45865,0.63305,0.49113,0.51304,0.26161,1.70496,1.46408,1.62356,0.00148546,0.00148546,0.00148546
24,162.51,1.59434,1.40013,1.43427,0.61818,0.49309,0.51207,0.26257,1.57922,1.49705,1.50815,0.00147721,0.00147721,0.00147721
25,167.567,1.56753,1.3705,1.44114,0.7236,0.51628,0.54739,0.26607,1.71294,1.44648,1.60696,0.00146896,0.00146896,0.00146896
