epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9725,2.20441,3.46213,1.76193,0.0038,0.53604,0.1199,0.04682,2.12634,4.00083,1.10237,0.00028339,0.00028339,0.00028339
2,76.9509,2.07912,2.73022,1.59798,0.00485,0.49399,0.16223,0.09163,1.91678,3.85102,1.20046,0.000577674,0.000577674,0.000577674
3,102.772,1.99106,2.39963,1.59358,0.00446,0.54054,0.09054,0.04534,2.034,3.77267,1.2234,0.000866017,0.000866017,0.000866017
4,129.182,2.03673,2.30072,1.5635,1,0.09882,0.16615,0.02997,2.31584,3.68946,1.45297,0.00114842,0.00114842,0.00114842
5,155.714,1.9255,2.12879,1.50931,0.53407,0.11111,0.12956,0.06346,2.09829,3.28851,1.24793,0.00142488,0.00142488,0.00142488
6,181.382,1.88966,2.10665,1.47424,0.96686,0.11111,0.28486,0.08038,2.21103,3.13764,1.38664,0.00158448,0.00158448,0.00158448
7,207.701,1.78677,1.97456,1.46936,0.69432,0.29228,0.31838,0.16956,1.88556,2.78058,1.31119,0.00156798,0.00156798,0.00156798
8,233.86,1.78863,1.96239,1.47015,0.40064,0.61111,0.32562,0.1335,1.98606,2.86799,1.35898,0.00155148,0.00155148,0.00155148
9,259.925,1.7944,1.88682,1.44817,0.3725,0.58356,0.40754,0.16373,2.10513,2.08904,1.36499,0.00153497,0.00153497,0.00153497
10,286.06,1.78267,1.89416,1.42815,0.58712,0.41622,0.45064,0.14824,2.01565,2.50282,1.34606,0.00151847,0.00151847,0.00151847
11,312.907,1.7032,1.81687,1.3796,0.73266,0.33972,0.46688,0.17488,1.88288,1.77722,1.29857,0.00150197,0.00150197,0.00150197
12,338.374,1.65939,1.73507,1.38366,0.24404,0.3048,0.21956,0.10691,2.00018,2.43034,1.32226,0.00148546,0.00148546,0.00148546
13,363.561,1.67533,1.73196,1.34142,0.30286,0.52853,0.28834,0.15046,2.09654,2.24099,1.37364,0.00146896,0.00146896,0.00146896
14,388.668,1.62653,1.70871,1.37132,0.51009,0.51706,0.4076,0.18108,1.85154,1.71114,1.24284,0.00145246,0.00145246,0.00145246
15,413.938,1.65395,1.67342,1.36777,0.35282,0.57329,0.35558,0.16518,1.89102,1.53358,1.29275,0.00143595,0.00143595,0.00143595
16,440.06,1.61804,1.68344,1.35565,0.25364,0.59309,0.30729,0.11288,1.82088,1.76103,1.28604,0.00141945,0.00141945,0.00141945
17,467.08,1.59097,1.64883,1.31619,0.77462,0.41812,0.48695,0.19174,1.74507,1.47189,1.19581,0.00140295,0.00140295,0.00140295
18,493.047,1.57086,1.58774,1.30573,0.40684,0.73273,0.5489,0.15868,1.85175,1.79053,1.28015,0.00138644,0.00138644,0.00138644
19,519.062,1.57923,1.63068,1.31856,0.50614,0.40841,0.43875,0.20101,1.7116,2.00557,1.178,0.00136994,0.00136994,0.00136994
20,545.269,1.55295,1.54293,1.2806,0.53154,0.46456,0.50448,0.21829,1.84325,1.563,1.25023,0.00135344,0.00135344,0.00135344
21,571.353,1.55993,1.55639,1.30934,0.55528,0.5345,0.5008,0.24238,1.71362,1.29762,1.20194,0.00133693,0.00133693,0.00133693
22,597.466,1.58025,1.54574,1.27582,0.60907,0.57772,0.5089,0.23066,1.74985,1.33207,1.16619,0.00132043,0.00132043,0.00132043
23,623.1,1.51277,1.49931,1.28176,0.50066,0.51974,0.46068,0.24335,1.6362,1.29993,1.12826,0.00130393,0.00130393,0.00130393
24,648.924,1.53024,1.5435,1.29605,0.66846,0.46284,0.50004,0.21769,1.78497,1.46469,1.17434,0.00128742,0.00128742,0.00128742
25,674.994,1.50739,1.49991,1.27632,0.47163,0.53003,0.47279,0.2089,1.72015,1.42078,1.22324,0.00127092,0.00127092,0.00127092
26,700.675,1.43137,1.3928,1.23434,0.38228,0.61862,0.34882,0.16964,1.77602,1.48041,1.20824,0.00125442,0.00125442,0.00125442
27,727.005,1.47747,1.43403,1.26235,0.37726,0.64865,0.47069,0.18665,1.79434,1.43545,1.27379,0.00123791,0.00123791,0.00123791
28,753.414,1.43731,1.45226,1.25281,0.45693,0.61712,0.54204,0.23576,1.78079,1.36883,1.23383,0.00122141,0.00122141,0.00122141
29,779.721,1.4263,1.38432,1.24595,0.44733,0.53754,0.47917,0.2051,1.62963,1.47197,1.12595,0.00120491,0.00120491,0.00120491
30,805.966,1.45831,1.38573,1.22212,0.54001,0.50386,0.44283,0.20829,1.70745,1.3269,1.15417,0.0011884,0.0011884,0.0011884
31,831.35,1.4056,1.32206,1.18824,0.46999,0.52853,0.46797,0.20997,1.5979,1.32723,1.16501,0.0011719,0.0011719,0.0011719
32,857.2,1.42796,1.33133,1.22015,0.46905,0.55105,0.43374,0.19276,1.77103,1.27717,1.28043,0.0011554,0.0011554,0.0011554
33,882.405,1.41151,1.3397,1.22469,0.44666,0.61358,0.52141,0.23326,1.69708,1.21988,1.23797,0.00113889,0.00113889,0.00113889
34,907.911,1.35803,1.33145,1.18391,0.55662,0.56607,0.58642,0.23545,1.66729,1.22609,1.20526,0.00112239,0.00112239,0.00112239
35,933.664,1.42021,1.37211,1.19646,0.49091,0.56244,0.50861,0.20018,1.67193,1.38049,1.19809,0.00110589,0.00110589,0.00110589
36,959.49,1.39018,1.31636,1.18798,0.59959,0.55105,0.45812,0.2033,1.71322,1.37756,1.1966,0.00108938,0.00108938,0.00108938
37,985.161,1.40076,1.30908,1.20157,0.37798,0.44444,0.42894,0.17694,1.73487,1.52648,1.17117,0.00107288,0.00107288,0.00107288
38,1009.86,1.32491,1.25115,1.17636,0.59969,0.65364,0.59907,0.28043,1.59458,1.12014,1.14687,0.00105638,0.00105638,0.00105638
39,1035.16,1.38148,1.2828,1.19321,0.71022,0.44745,0.56268,0.24009,1.69839,1.24182,1.20484,0.00103987,0.00103987,0.00103987
40,1061.5,1.41003,1.30373,1.18956,0.47859,0.68774,0.51545,0.21742,1.73316,1.17821,1.2181,0.00102337,0.00102337,0.00102337
41,1088.22,1.31045,1.20732,1.15561,0.50899,0.66216,0.47122,0.21237,1.60477,1.10792,1.2045,0.00100687,0.00100687,0.00100687
42,1114.26,1.31563,1.19043,1.14829,0.51646,0.59222,0.51748,0.26342,1.58589,1.11812,1.17376,0.000990365,0.000990365,0.000990365
43,1139.89,1.29772,1.19057,1.15826,0.64167,0.41264,0.44248,0.22068,1.65164,1.0908,1.21762,0.000973861,0.000973861,0.000973861
44,1165.45,1.32632,1.18575,1.15614,0.58481,0.62162,0.56948,0.22934,1.71532,1.0472,1.27598,0.000957358,0.000957358,0.000957358
45,1192.2,1.32641,1.2478,1.21455,0.49716,0.61261,0.50134,0.21209,1.6253,1.1277,1.25222,0.000940855,0.000940855,0.000940855
46,1217.77,1.33606,1.15702,1.1268,0.59615,0.5976,0.53488,0.23739,1.60135,1.35936,1.18282,0.000924352,0.000924352,0.000924352
47,1243.62,1.32268,1.2397,1.17162,0.45464,0.61397,0.46661,0.19749,1.68734,1.4584,1.25428,0.000907848,0.000907848,0.000907848
48,1270.41,1.35318,1.20754,1.15066,0.55974,0.54805,0.48642,0.1997,1.62703,1.11565,1.2454,0.000891345,0.000891345,0.000891345
49,1297.09,1.28275,1.20547,1.15106,0.58179,0.62368,0.54499,0.22788,1.63361,1.15523,1.21764,0.000874842,0.000874842,0.000874842
50,1322.2,1.28212,1.1394,1.10542,0.66168,0.67542,0.59669,0.26558,1.59883,0.97063,1.16626,0.000858338,0.000858338,0.000858338
51,1347.35,1.22478,1.10834,1.14106,0.5408,0.70432,0.71338,0.26242,1.66465,1.05697,1.22203,0.000841835,0.000841835,0.000841835
52,1373.51,1.25581,1.16513,1.16278,0.54496,0.57057,0.5145,0.22467,1.62297,1.11521,1.19891,0.000825332,0.000825332,0.000825332
53,1399.41,1.19148,1.06942,1.11501,0.61558,0.60969,0.55064,0.22682,1.6074,1.12534,1.19069,0.000808828,0.000808828,0.000808828
54,1425.36,1.27351,1.16056,1.14714,0.60062,0.73574,0.6263,0.25323,1.56212,0.9993,1.14527,0.000792325,0.000792325,0.000792325
55,1451.43,1.21504,1.10163,1.13808,0.66835,0.45361,0.54392,0.2289,1.69019,1.08473,1.21893,0.000775822,0.000775822,0.000775822
56,1477.3,1.29361,1.16146,1.13924,0.64522,0.68018,0.53594,0.21898,1.53476,1.06242,1.16272,0.000759318,0.000759318,0.000759318
57,1503.22,1.21937,1.07873,1.12474,0.70055,0.58108,0.57859,0.22151,1.60105,1.02989,1.1524,0.000742815,0.000742815,0.000742815
58,1528.71,1.26479,1.07744,1.12097,0.5294,0.61873,0.53826,0.23459,1.55458,1.01826,1.20895,0.000726312,0.000726312,0.000726312
59,1554.8,1.23379,1.10809,1.12054,0.73026,0.54354,0.57251,0.24193,1.54279,1.06855,1.19394,0.000709809,0.000709809,0.000709809
60,1580.67,1.28653,1.17615,1.15944,0.69114,0.5769,0.58498,0.23375,1.61879,1.05979,1.20563,0.000693305,0.000693305,0.000693305
61,1607.13,1.24021,1.10853,1.11837,0.59188,0.6564,0.60677,0.22481,1.7168,1.16279,1.25129,0.000676802,0.000676802,0.000676802
62,1632.85,1.21379,1.06655,1.11274,0.47217,0.54204,0.47976,0.21684,1.59888,1.07478,1.18951,0.000660299,0.000660299,0.000660299
63,1658.47,1.22319,1.09722,1.11116,0.52881,0.48778,0.44015,0.20121,1.6441,1.05896,1.22414,0.000643795,0.000643795,0.000643795
64,1683.87,1.20917,1.11093,1.12325,0.66751,0.53003,0.5417,0.22525,1.55327,1.0368,1.20093,0.000627292,0.000627292,0.000627292
65,1710.59,1.18599,1.03469,1.08995,0.68855,0.57734,0.55203,0.24285,1.51899,1.05956,1.14896,0.000610789,0.000610789,0.000610789
66,1736.78,1.12173,0.96686,1.0705,0.67392,0.58122,0.549,0.20529,1.5973,1.08752,1.16455,0.000594286,0.000594286,0.000594286
67,1762.48,1.16514,1.03604,1.08577,0.57355,0.54294,0.53054,0.22614,1.5769,1.11093,1.16771,0.000577782,0.000577782,0.000577782
68,1788.54,1.21147,1.04103,1.07925,0.57807,0.57226,0.49185,0.20861,1.57368,1.05691,1.20912,0.000561279,0.000561279,0.000561279
